"No.","Time","Source","Destination","Protocol","Length","Info"
"108","5.890916","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=29, FN=0, Flags=.p.....TC"
"109","5.890924","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"110","5.919930","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"111","5.920914","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=30, FN=0, Flags=.p.....TC"
"112","5.920924","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"113","5.939903","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4048, FN=0, Flags=........C, BI=100, SSID=Coherer"
"114","5.943909","Apple_82:36:3a","Broadcast","802.11","408","Data, SN=4049, FN=0, Flags=.pm...F.C"
"115","5.944905","Apple_82:36:3a","IPv6mcast_ff:82:36:3a","802.11","152","Data, SN=4050, FN=0, Flags=.pm...F.C"
"116","5.945908","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4051, FN=0, Flags=.pm...F.C"
"117","5.946902","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4052, FN=0, Flags=.p....F.C"
"118","5.949905","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"119","5.950902","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=31, FN=0, Flags=.p.....TC"
"120","5.950911","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"121","5.979952","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"122","5.980900","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=32, FN=0, Flags=.p.....TC"
